0,44,9,122,137,141221,33,20,0,1054,138741,38,1,28,194,6,0,0,500,7,60,156,1,4,0,2,0,2,12,22,0,0,1,7,112,8,42,65,185,56,77,55,13,41,2,1069,187,75,91,0,6,0,69,0,0,37,23,1,1,4,136,37,107,259,43,0,34,1,13,48,0,0,19,0,839,76,175,8,12,36,3,5,14,190,68,503,3,33,0,37,37,43,0,0,4,5,6,3,2,7,1,0,0,3,1,1,6,13,139,0,0,0,12,10,0,0,1,1,0,50,3,30,56,0,0,0,0,0,0,0,1,0,0,0,8,0,18,9,6,0,0,0,0,0,5,2,25,0,47,1,6,0,0,0,2,0,0,27,11,13,0,40,0,3,0,1,0
44,0,16810,4989,1747,3890,7300,654,28,7936,150,10524,400,1018,317,3298,139,3,3706,3014,239,8873,1,2574,104,454,14,55,496,689,168,721,5568,5036,36649,233,18,872,3931,114,1253,589,2941,590,35,13768,2837,11224,2954,3,59,0,268,13,3,352,51,771,370,4,4705,2649,7328,14374,1131,2,80,156,365,355,2557,3483,7560,18,10014,1317,3256,32,85,781,3214,13,132,3727,5049,5622,46,4789,13,1075,608,224,4,33,5,1998,8,256,122,201,125,1,4,118,54,0,48,343,3449,0,1,21,215,3,5,12,4,17,33,3271,205,277,7316,0,109,5,62,12,16,19,31,4,44,5,162,14,1176,362,1682,0,32,11,16,1,160,194,405,1,4566,12,108,0,9,34,9,1,1,1268,1282,1163,37,113,7,1236,23,27,21
9,16810,0,1861,375,1678,6,0,11,5428,5,305,1263,165,28,0,0,277,319,18880,4,2934,82,4104,434,308,84,54,5,0,2301,764,6467,20436,22157,15,162,17,2,11,35,2,14961,199,18,202,537,22288,70,1056,141,0,28,8,1,174,26,618,1913,2,2,23,11,4490,152,134,34,738,20,8,7664,6541,5993,12,210,2,14,11,84,19,7571,4573,3985,6,716,684,2281,6577,1288,133,136,124,0,1772,0,222,1,3303,1490,213,132,4,1,0,88,3,72,1406,8273,0,8,0,0,1,0,0,171,7,0,7,25,86,16,941,126,0,3,1,1,3,7,2,53,0,0,0,0,45,28,2,1,9,1,0,331,639,1111,1,9,0,2,0,2,1,30,1900,32,1,181,37,97,57,3045,4,7,4,0
122,4989,1861,0,1208,7157,957,34,169,14619,290,1567,115,692,131,1154,94,6,1007,12661,867,813,762,5543,81,313,2,10,192,596,1687,5818,13710,6813,37946,70,84,1347,4566,414,7035,202,25904,2417,941,16073,15950,19794,850,77,61,17,360,31,100,2759,559,5810,3374,902,6607,736,10408,17816,147,469,427,2307,677,1249,1544,5053,12500,118,11273,1648,4020,291,1389,2515,3276,1028,9413,3009,954,14673,364,7144,64,247,2310,2025,28,32,0,6,2,213,141,103,27,0,0,34,12,0,16,193,1687,0,0,3,46,1,0,6,12,1,2,460,0,27,1019,2,14,0,13,8,1,4,3,0,10,0,40,10,317,2,49,0,11,8,5,0,84,85,172,0,727,4,42,0,1,11,7,4,1,337,264,15,22,30,11,135,8,8,3
137,1747,375,1208,0,9745,246,74,5,10685,390,116,3,36,74,38,7,0,177,64,59,982,10,30,0,2,4,1,24,177,16,15,68,62,1187,2,0,207,969,56,251,30,56,296,27,1544,2530,10354,109,0,5,0,39,4,1,104,18,12,16,7,845,126,971,7790,69,0,9,11,46,81,11,25,161,11,1220,198,782,23,69,133,22,0,6,633,126,2491,8,3398,0,20,113,160,1,0,0,11,0,0,0,0,1,0,0,3,0,0,0,3,114,0,0,1,8,1,0,0,1,1,0,90,1,22,143,0,2,0,4,2,1,0,0,0,0,0,7,3,37,2,1,0,3,0,2,0,2,1,4,0,57,0,7,0,0,6,0,0,0,66,26,3,2,37,0,21,0,0,0
141221,3890,1678,7157,9745,0,214,55,0,38713,178753,3257,2545,1382,8332,249,48,1,42162,163,78,3299,12,117,11,142,1,13,115,277,27,67,427,610,19082,15,14,334,1568,66,222,80,161,391,46,9513,3582,5314,1138,0,5,1,25,0,3,60,15,42,71,23,1061,32,1187,5478,579,0,40,83,43,52,95,217,2509,3,6637,375,1409,24,69,71,120,0,9,1473,534,6728,35,4687,2,344,62,164,3,107,36,5138,324,489,65,408,589,22,168,545,103,72,292,638,22681,0,1,271,3010,68,111,70,129,468,40,6178,1935,12117,2523,0,0,1,24,5,13,178,129,43,73,2,2310,58,1188,2879,1308,1,29,20,109,8,156,233,3300,6,9447,237,1141,14,108,173,107,0,7,2769,1070,4421,136,9584,1,331,215,197,4
33,7300,6,957,246,214,0,1068,19,3838,19,1335,0,189,40,2901,63,1,369,12,148,230,0,0,8,84,5,4,26,105,0,0,0,16,75,189,23,126,316,189,605,5937,19,104,15,1862,740,827,634,0,61,3,438,23,3,1590,50,0,0,8,416,7724,1814,728,29,0,85,1,917,119,6,0,8,0,1155,115,336,41,132,2388,0,2,30,2136,1389,885,6,158,0,118,962,157,10,0,2,5,0,0,2,1,0,0,16,123,0,0,0,4,3,0,0,0,62,0,44,37,3,0,0,371,0,0,829,0,3,0,4,3,2,3,0,0,0,0,84,11,1659,0,32,0,2,0,2,1,0,0,1,1,634,3,13,0,1,155,0,0,0,200,922,25,0,0,0,124,3,1,0
20,654,0,34,74,55,1068,0,8,554,1,209,0,40,10,322,32,0,74,1,216,0,0,0,0,0,0,0,3,18,0,0,0,2,0,3,3,56,111,180,1477,503,0,3,1,44,1,4,37,0,24,3,1088,201,2,74,71,0,0,2,158,7379,1052,6,0,1,18,0,121,250,0,0,0,0,33,78,200,21,88,3747,0,1,1,86,40,0,1,0,0,23,501,133,10,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,10,0,0,2,5,0,0,83,0,0,198,0,1,0,2,3,0,1,0,0,0,0,5,3,14,0,19,0,0,0,0,0,0,0,0,0,172,0,3,0,4,4,0,0,0,15,12,6,0,0,0,34,0,0,0
0,28,11,169,5,0,19,8,0,7,0,0,53,8,0,1,0,57,1,12,0,0,0,2,283,86,34,21,0,0,0,0,0,0,4,0,19,0,0,0,1,0,98,0,0,0,0,0,11,1,106,0,0,0,0,0,0,0,0,0,1,3,1,0,1,19,2,0,1,0,0,0,0,0,0,0,1,0,1,9,0,170,19,0,323,0,0,0,41,28,2,0,0,7,0,0,0,9,33,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,143,1,0,10,0,0,0,92,1,0,0,0
1054,7936,5428,14619,10685,38713,3838,554,7,0,551,2599,116,634,223,1192,104,3,1716,788,350,4714,26,862,67,695,10,18,199,724,121,349,2755,2701,65234,81,12,923,4430,172,3558,237,825,866,91,12786,6857,18322,1422,0,31,1,223,12,8,332,58,455,422,33,5762,1567,10965,14320,749,1,97,197,357,641,662,1618,9760,12,9766,1505,3889,62,140,1483,773,2,44,3221,1809,10547,87,14245,0,470,596,393,0,13,4,77,1,71,58,156,133,0,2,51,36,0,7,274,2317,0,0,7,101,2,3,16,12,7,2,773,12,73,1598,0,0,0,16,9,1,10,6,1,19,0,71,16,606,13,167,0,16,2,12,1,87,73,223,0,1101,12,32,0,5,31,4,0,0,544,374,53,61,60,3,285,4,8,9
138741,150,5,290,390,178753,19,1,0,551,0,56,15,127,188,28,2,0,1478,1,3,4,0,2,1,0,0,0,0,2,0,0,7,9,246,1,0,1,14,0,1,1,3,1,0,87,1,30,47,0,0,2,1,0,0,0,0,0,2,0,14,1,12,13,5,0,6,1,0,0,0,3,34,0,40,2,7,0,0,0,2,0,0,22,4,13,0,31,0,23,0,2,0,0,24,146,1,1,1,1,6,7,22,119,2,0,0,8,135,0,1,32,692,18,23,24,2,52,4,902,84,114,360,0,0,0,4,3,0,13,9,0,0,0,563,12,230,81,80,0,13,0,13,21,0,0,20,0,1420,64,256,1,6,37,0,2,4,509,181,317,1,74,0,59,8,13,0
38,10524,305,1567,116,3257,1335,209,0,2599,56,0,21997,2819,269,8130,744,12,7841,54,6,291,4,43,57,72,2,1,3,45,44,0,49,238,2678,218,33,29,129,9,11,5,20,35,2,3506,29,63,3026,0,87,1,27,2,8,11,8,1,30,12,142,28,313,53,326,0,100,46,14,10,45,189,339,0,2090,34,105,1,7,10,8,5,32,471,222,214,24,34,4,1228,49,32,9,457,36,10592,1,2458,382,701,688,76,181,763,64,376,1525,1887,25332,0,5,189,3166,53,134,168,729,239,12,4917,1599,7841,3314,1,112,0,42,76,4,230,63,124,200,5,2951,1156,2271,6004,1976,2,26,11,550,18,832,1339,4565,5,7636,293,1028,10,36,362,665,2,17,3194,3402,3581,42,3672,12,380,279,120,1
1,400,1263,115,3,2545,0,0,53,116,15,21997,0,1143,419,1,5,19,9073,690,0,198,0,823,133,21,7,2,0,0,14,5,42,536,3130,1,5,0,0,0,0,0,131,3,0,8,21,45,11,105,8,0,0,0,0,0,0,2,17,0,0,2,0,36,17,1,0,17,0,0,65,469,504,0,0,0,0,0,0,0,42,635,82,0,120,16,8,21,520,9,1,0,0,19205,0,4119,142,17067,842,111,117,0,4,0,1530,1094,4250,12869,12899,2,77,20,1,0,3,11,11175,196,10,30,243,18402,4,3190,35,0,5,7,7,160,135,412,1030,6,2,5,1,2997,115,17,5,73,37,0,4249,6775,4559,24,141,6,3,18,44,6,3873,3136,1342,0,267,104,2957,4531,1810,0,225,196,0
28,1018,165,692,36,1382,189,40,8,634,127,2819,1143,0,1768,834,232,321,5482,66,4,10,0,132,26,30,2,0,4,13,13,0,8,124,1195,113,13,3,79,1,11,0,11,7,0,321,2,14,283,4,44,0,10,0,1,7,0,2,7,4,55,6,183,6,10,0,93,48,0,2,24,108,137,0,137,27,46,0,9,16,4,30,22,185,73,14,5,26,21,75,11,3,4,13179,1226,2871,4144,12718,454,402,267,32,144,1226,3257,7767,9564,3731,26372,48,200,1987,10944,367,9867,146,31969,2868,5357,9429,14800,13748,1561,792,84,123,1712,160,4310,3817,8165,8964,3314,7641,26747,571,14294,16488,481,2465,642,3974,1366,1370,1342,3450,9132,482,15846,2725,5268,291,1102,5348,2875,3091,10297,5186,831,14552,726,4960,194,159,8734,8176,267
