0,24648,11,298,26399,270,542,67,1018,71,524,531,203,593,2277,1032,1244
24648,0,9,163,4753,51,335,97,1232,143,3723,204,213,437,5419,1168,628
11,9,0,7193,3172,32901,14161,733,8,32,3150,4498,781,117,68,1179,949
298,163,7193,0,1481,10514,17371,2058,379,6,378,6410,1527,9847,184,1027,7964
26399,4753,3172,1481,0,12292,2272,672,8461,516,4433,19513,3962,2737,8964,8905,4551
270,51,32901,10514,12292,0,19606,3813,117,1,2367,21126,6179,2160,312,3994,4728
542,335,14161,17371,2272,19606,0,12211,3186,975,5362,9289,3831,5044,482,11407,10820
67,97,733,2058,672,3813,12211,0,234,2182,1280,16383,13290,1158,91,15268,14272
1018,1232,8,379,8461,117,3186,234,0,932,97,1367,1597,1024,4296,341,6070
71,143,32,6,516,1,975,2182,932,0,111,1187,2336,27,50,4372,2028
524,3723,3150,378,4433,2367,5362,1280,97,111,0,1012,547,94,3821,13881,693
531,204,4498,6410,19513,21126,9289,16383,1367,1187,1012,0,35376,4511,1068,12374,22373
203,213,781,1527,3962,6179,3831,13290,1597,2336,547,35376,0,3241,218,15942,18673
593,437,117,9847,2737,2160,5044,1158,1024,27,94,4511,3241,0,292,3023,14636
2277,5419,68,184,8964,312,482,91,4296,50,3821,1068,218,292,0,6176,512
1032,1168,1179,1027,8905,3994,11407,15268,341,4372,13881,12374,15942,3023,6176,0,26523
1244,628,949,7964,4551,4728,10820,14272,6070,2028,693,22373,18673,14636,512,26523,0
