0,4906,15299,15510,7791,627,660,161,10,261,7,1020,1969,1,307,2627,1003,53,799,1783,456,229,1070,76,2612,33,3689,10002,14984,1523,246,6,9610,69,235,1412,5,899,1959,427,936,297,1722,877,24,651,3,24
4906,0,6258,1535,2952,794,6998,4581,158,694,186,1284,1360,126,237,139,5926,3091,1039,1779,1289,1918,1591,840,14,568,114,768,1141,880,946,124,4760,531,291,479,321,217,127,1016,2666,4975,4770,2870,318,1947,33,56
15299,6258,0,18672,1842,7084,17609,226,0,86,0,90,142,3,10,111,1392,949,253,625,252,191,42,2,55,8100,60,9613,12421,3660,239,7,157,271,103,24,1,4,38,4,1039,864,354,121,5,145,5,4
15510,1535,18672,0,2714,5496,12404,96,0,153,0,80,752,0,12,18,3624,1758,2735,7822,2444,136,48,1,15,739,60,1660,7498,270,63,1,101,38,9,6,1,4,3,0,836,399,1025,32,0,265,14,0
7791,2952,1842,2714,0,2134,319,15,5,278,0,328,539,0,54,504,149,6,394,725,165,43,295,14,21,10,9,356,987,80,26,0,1057,1,8,71,1,26,134,52,2457,665,2804,185,20,700,1,7
627,794,7084,5496,2134,0,3957,44,2,336,0,205,174,1,12,31,479,59,1128,1243,104,4,8,0,7,391,2,227,887,7,2,0,11,2,2,0,1,0,4,3,2500,1576,2054,20,5,1240,6,0
660,6998,17609,12404,319,3957,0,29,11,265,3,160,850,42,151,42,35698,3431,3418,3620,1769,1152,69,2,2,6167,159,440,5553,12237,1336,10,13,1289,347,4,31,46,0,0,372,5196,1036,24,3,310,46,1
161,4581,226,96,15,44,29,0,964,736,1588,1567,744,914,380,426,46,73,49,806,773,766,1517,352,10,4,118,9,48,219,296,13,2209,1566,247,575,662,679,395,548,50,148,239,3766,313,652,13,16
10,158,0,0,5,2,11,964,0,1250,573,471,227,42,98,29,34,134,17,336,629,586,225,128,1,0,2,0,0,77,280,6,13,17,15,46,9,88,15,57,0,81,104,823,316,1444,5,5
261,694,86,153,278,336,265,736,1250,0,505,3479,1362,130,369,219,256,611,561,3515,1079,779,344,24,1,1,19,8,6,301,475,14,75,46,243,81,153,136,32,43,33,209,1462,974,612,4746,5,178
7,186,0,0,0,0,3,1588,573,505,0,2578,196,491,358,100,8,41,10,283,208,90,353,66,0,0,0,0,1,31,74,0,31,32,19,64,25,127,39,167,0,40,124,243,8,441,0,3
1020,1284,90,80,328,205,160,1567,471,3479,2578,0,5507,993,3664,1485,150,408,119,4156,1577,657,1811,216,1,0,12,4,9,300,325,16,324,56,177,463,177,582,320,516,60,148,2183,1267,72,1907,8,223
1969,1360,142,752,539,174,850,744,227,1362,196,5507,0,435,2731,4847,870,383,592,9339,8591,2961,6217,130,0,1,33,6,31,227,399,34,335,79,377,448,527,824,237,267,101,69,2467,631,142,924,37,1069
1,126,3,0,0,1,42,914,42,130,491,993,435,0,1481,359,58,48,43,308,221,70,273,48,0,0,5,0,2,74,100,0,17,96,93,153,514,311,156,198,0,128,249,97,2,176,1,3
307,237,10,12,54,12,151,380,98,369,358,3664,2731,1481,0,4757,188,98,113,895,423,171,622,34,4,0,17,3,7,107,78,4,101,124,165,165,480,1708,350,289,3,49,627,260,1,295,1,15
2627,139,111,18,504,31,42,426,29,219,100,1485,4847,359,4757,0,183,178,215,1586,1373,1142,5513,107,5,0,64,5,3,96,118,7,554,99,427,1120,695,2416,2085,1658,52,2,384,145,14,172,1,1238
1003,5926,1392,3624,149,479,35698,46,34,256,8,150,870,58,188,183,0,17274,12535,4385,2718,2521,255,2,0,660,82,299,201,5117,2537,8,18,398,344,16,50,83,4,0,34,4904,2783,62,33,326,37,0
53,3091,949,1758,6,59,3431,73,134,611,41,408,383,48,98,178,17274,0,3876,5965,3662,19853,267,68,0,362,27,111,190,3487,4988,51,11,412,776,29,43,79,22,13,12,103,1295,187,240,680,18,9
