0,178,38,44,97,20735,7,11,0,729,6617,43,11,21,63,2,4,0,123,0,249,4,0,0,0,0,0,0,0,1,0,0,0,1,44,0,0,5,2,363,625,393,5,1,0,1,0,22,0,0,0,0,1,0,0,89,9,0,0,13,32,1,35,1,0,0,2,1,3,66,0,0,0,0,4,70,29,44,133,142,0,0,0,23,13,0,0,1,0,1,54,30,0,0,2,0,1,0,0,0,0,0,0,0,1,4,2,5,48,0,0,0,0,0,3,1,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0
178,0,4973,1823,869,450,2680,112,23,1815,50,268,10,4,4,134,0,0,29,2,15,46,5,5,3,52,23,2,2,12,3,10,38,23,114,61,4,5,11,4,10,14,8,18,40,155,29,53,28,0,151,0,4,1,8,22,1,83,102,244,16,110,1701,1129,184,15,238,896,36,84,203,9,420,26,946,141,459,28,27,357,13,2,33,412,789,585,13,119,1,173,56,227,29,0,0,8,0,0,5,4,12,0,0,6,4,0,0,6,28,1,0,0,2,0,2,1,0,4,13,21,7,4,10,0,293,0,7,1,0,1,1,0,0,0,4,2,68,3,438,0,2,0,0,0,0,4,2,0,9,0,0,0,0,11,0,0,0,200,376,8,0,2,0,130,0,1,0
38,4973,0,927,662,97,42,9,220,523,3,27,1895,32,3,0,1,108,40,341,8,30,5,183,216,133,20,0,0,1,280,67,482,2839,2145,51,23,0,1,2,2,23,590,2,5,3,8,100,0,42,19,0,0,2,0,1,3,169,423,21,0,3,72,811,46,47,38,495,11,7,1570,466,793,0,44,0,1,15,134,275,504,452,940,2,698,64,1074,349,196,5,139,55,1,104,0,3,4,122,112,4,10,0,0,0,250,1,129,1159,784,1,2,0,0,0,0,0,53,1,1,4,9,139,2,18,68,0,1,0,0,1,0,0,1,0,0,6,0,3,64,0,0,3,0,0,19,37,98,0,0,0,0,0,0,0,11,136,35,0,151,0,30,3,88,1,1,1,0
44,1823,927,0,806,255,265,130,31,1686,49,15,41,11,25,15,3,4,54,58,23,10,139,140,31,121,21,0,1,8,92,158,475,221,2209,345,419,18,7,11,18,19,313,10,251,45,52,57,5,0,94,1,84,12,19,40,9,320,170,663,5,121,736,1199,28,267,700,1037,48,47,250,220,1159,7,833,106,330,275,60,426,130,55,457,92,76,889,227,441,4,6,193,445,20,0,1,1,2,3,6,5,21,0,0,0,23,0,1,46,48,2,1,1,0,0,1,0,0,1,1,3,1,8,0,0,3,0,6,0,0,1,3,0,0,1,0,17,3,0,1,0,0,0,0,0,2,11,8,0,0,0,0,0,1,13,0,0,0,18,76,1,1,0,0,5,0,0,0
97,869,662,806,0,1318,86,145,23,1578,34,5,2,27,24,26,8,2,22,6,2,7,15,26,0,11,3,0,0,1,3,26,60,26,198,1,14,7,4,2,3,9,72,0,22,15,18,66,1,0,18,0,2,0,3,17,1,45,12,115,3,72,335,703,11,22,13,76,8,17,32,14,208,1,441,54,313,61,6,94,18,1,58,67,4,359,15,173,0,3,14,97,4,0,0,0,1,0,0,1,3,0,0,0,3,0,0,0,9,0,0,0,0,0,2,1,2,0,0,1,2,8,2,0,6,0,0,0,0,13,2,0,1,1,1,116,6,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,1,12,0,1,0,12,31,1,0,0,0,3,1,0,0
20735,450,97,255,1318,0,91,73,1,6388,21104,840,106,144,1307,28,116,0,6251,3,1,8,2,3,0,3,7,1,1,1,1,8,25,18,321,0,1,2,8,4,4,102,30,4,0,11,10,56,11,0,1,0,1,0,0,2,2,1,0,9,1,7,180,35,2,0,11,15,5,1,4,3,11,0,80,7,52,21,11,10,0,0,2,26,226,19,0,44,0,9,9,36,2,5,1,19,7,12,0,5,9,0,2,1,11,5,11,27,338,0,1,3,0,0,6,46,17,4,1,8,4,49,6,0,0,2,5,1,2,4,13,0,0,4,4,16,335,7,154,0,2,0,1,1,0,0,7,0,17,0,36,0,2,3,1,0,4,101,451,43,1,12,0,15,2,52,0
7,2680,42,265,86,91,0,185,2,762,0,74,3,18,10,106,8,1,14,6,11,0,0,2,1,0,0,1,17,18,1,3,3,4,7,30,15,5,4,45,77,1143,25,2,0,7,0,0,8,0,30,0,33,7,1,300,40,0,0,12,5,683,774,28,1,0,295,2,358,20,0,1,3,0,69,26,53,42,340,1154,2,4,15,112,245,15,0,3,5,5,295,230,20,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,5,0,0,0,0,0,10,8,2,3,0,2,0,1,1,0,7,0,0,4,0,1,1,0,0,0,3,5,87,0,1,0,0,0,2,1,0,0,0,0,5,0,0,0,0,17,0,0,0,2,75,1,0,0,0,6,0,0,0
11,112,9,130,145,73,185,0,7,509,0,0,0,5,13,1,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,7,0,0,3,0,130,1,0,0,1,0,0,0,0,91,0,14,30,0,7,5,0,0,2,0,356,31,0,0,0,86,0,11,1,0,6,0,0,1,3,0,7,11,116,0,6,2,0,1,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
0,23,220,31,23,1,2,7,0,3,0,0,33,0,0,2,0,74,0,0,0,0,0,0,20,2,2,0,0,0,0,0,0,0,1,10,4,0,0,0,0,17,10,0,0,0,0,0,0,0,85,0,0,1,0,0,0,0,0,0,0,0,6,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,14,5,0,149,1,0,138,0,0,0,2,0,20,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,2,0,7,0,0,0,2,0,0,0,0
729,1815,523,1686,1578,6388,762,509,3,0,118,31,20,16,50,22,16,2,150,0,5,3,0,10,1,13,13,0,1,2,3,6,14,10,86,11,1,5,4,2,5,8,34,3,3,11,2,20,2,14,81,0,2,0,0,30,0,4,8,15,5,132,942,314,28,13,69,164,15,54,27,2,383,0,207,65,179,72,10,167,3,0,8,88,34,76,4,113,0,23,44,70,1,1,1,3,0,0,1,0,4,0,0,1,4,0,1,1,15,0,0,0,0,0,0,1,3,0,0,6,0,8,0,1,5,1,1,0,1,5,1,0,0,0,0,34,1,0,4,0,0,0,6,0,0,1,2,0,0,1,0,0,2,36,0,0,0,14,103,0,0,0,0,3,1,1,0
