0,0,4321,20626,16435,3456,278,0,0,0,0,0,4845,352,39,76,34,124,187,68,165,614,3,0,0,0,1,0,8,2,144,0,0,0,1,0,0,0,0,0,0,10,0,0,4,19,0,0,9,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,2,6,3,1,26,230,1,1,0,0,0,0,0,12,3,13,5,70,122,402,260,67,60,3,0,0,0,0,0,0,0,2226,2,0,97,82,4,6,984,4,1874,4,0,0,0,0,26,129,4,6129,225,606,7,134,462,161,1551,38,96,2790,1281,43,1801,996,142,2,79,1,0,3,470,17,0,2,23,0,0,0,2,9,64,2226,78,105,20,57,66,10,2637,0,0,101,0,0,15,6749,0,0,10,8,1868,12,4,28,3424,137,4176,0,0,6765,0,1403,1449,1286,67,2,0,0,0,0,0,1678,42,475,46,306,0,59,1,0,3,0,0,0,0,2,0,43,29,806,0,0,0,0,0,1,0,0,0,0,3,0,0,36,163,0,7,12,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,1,0,2,5,2,6,0,0,0,1,0,0,1,5,3,0,4,0,0,2,1783,5,0,11,22,0,0,0,0,0,179,2,2,1,1,2,2,3,9,1,0,1,0,0,0,3,0,0,0,0,2,1,1,2,0,0,2,0,0,177,8858,17,18253,2238,1355,1744,4,14221,10,281,0,161,38,239,9,3,202,1415
0,0,8,3,1,7,1,51,8,68,19,90,10,0,0,8,22,180,27,31,28,19,265,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,19,10,7,18,59,27,13,8,0,38,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,217,4,1,0,1,8,58,66,11,7,28,12,14,0,0,0,1,0,0,0,0,0,13,8,12,0,0,0,0,0,10,3,0,1,5,2,0,2,0,10,0,1,0,1,21,0,0,0,1,13,2,4,9,0,29,24,7,10,44,46,289,104,292,352,705,1398,55,476,643,7,150,37,37,77,0,3,119,1174,510,8,0,2,4,266,553,27,97,4,0,0,39,0,0,0,11,7,0,0,3,90,6,5,6,59,20,16,0,0,2,0,1,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,122,5,4,2,0,9,0,0,0,0,0,0,0,0,0,0
4321,8,0,1055,658,160,90,0,0,0,0,2,794,1088,207,357,441,185,777,77,141,153,48,3,1,0,1,0,6,8,691,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,1,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,1,3,0,2,0,0,0,9,0,0,0,1032,10,0,0,225,0,0,3,0,22,0,0,0,0,0,25,65,9,1897,59,76,277,790,96,75,1174,150,130,134,315,12,184,97,10,1,83,11,3,13,1631,216,2,5,365,2,1,0,7,22,120,24,45,8,54,56,120,71,54,0,0,119,0,0,0,478,1,0,0,0,113,106,72,385,898,59,134,0,0,1687,0,1601,573,819,23,3,0,0,0,0,0,1177,191,817,46,324,3,35,1,0,0,0,0,0,0,2,0,100,47,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,23,205,1,6,7,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,3,0,3,6,2,2,1,1,0,2,0,0,0,1,5,0,0,0,0,0,2196,4,0,2,26,0,0,0,0,3,178,0,4,0,0,2,2,4,1,1,0,0,0,0,0,2,0,0,0,0,2,0,3,5,2,3,1,0,0,119,2264,1,2362,590,550,69,0,2350,10,130,0,56,30,144,3,0,96,899
20626,3,1055,0,12127,5824,222,1,0,0,1,1,2912,216,60,44,23,83,203,32,19,187,13,0,0,0,1,0,4,9,178,0,3,0,3,0,0,0,0,0,1,3,1,0,2,11,0,1,5,10,1,0,1,0,0,1,0,0,0,3,0,1,1,3,0,17,1,0,5,0,0,1,2,0,1,9,210,1,0,0,0,3,1,0,3,1,4,1,37,106,423,301,66,77,2,0,0,0,0,0,0,0,2046,2,0,104,82,2,10,940,13,2082,3,0,0,0,0,7,41,2,3012,237,498,11,154,180,129,1410,50,130,3221,1340,45,2077,1231,128,0,62,0,0,3,272,4,0,0,9,0,0,1,3,3,29,1320,48,51,5,60,43,4,1370,2,0,64,0,0,20,5715,0,0,3,1,2423,3,7,22,3458,111,3793,4,0,3405,0,710,990,837,33,0,0,0,0,0,0,1005,52,182,28,135,1,34,0,0,0,0,0,0,0,0,0,23,8,558,0,0,0,0,0,0,0,0,0,0,2,0,0,13,72,0,4,8,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,229,0,1,0,3,1,2,0,2,0,2,0,0,2,4,3,0,0,0,0,0,1071,1,0,0,10,0,0,0,0,7,89,3,0,1,0,0,2,4,5,0,0,0,0,0,0,2,0,0,0,0,1,2,0,3,0,0,1,0,0,122,4184,32,12225,1288,550,1416,8,6544,11,121,0,61,36,135,1,1,76,806
16435,1,658,12127,0,10213,847,0,0,0,2,0,2355,484,15,55,21,192,533,175,225,960,17,0,0,0,0,2,2,0,147,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,1,0,1,0,7,68,3,1,1,0,0,0,1,0,0,0,5,11,59,160,120,31,33,0,0,0,0,3,0,0,0,2184,4,0,48,119,2,2,412,3,1047,5,0,0,0,1,5,20,2,1820,186,377,48,358,47,190,1600,49,123,2262,1082,45,1783,1116,172,1,74,1,0,1,434,12,0,0,17,0,0,0,1,4,24,516,172,39,25,96,176,6,1034,1,0,160,0,0,7,3190,1,1,2,0,1771,22,12,94,3136,101,2013,0,0,2687,0,1069,958,1039,29,0,0,0,0,0,0,1352,72,399,30,151,4,24,0,0,1,0,0,0,0,2,0,29,19,780,0,0,0,0,0,0,0,0,0,0,0,0,0,9,112,0,2,7,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,3,0,1,1,0,0,1,1,0,0,8,0,0,2,0,0,0,1621,2,0,4,9,0,0,0,1,2,108,1,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,166,2999,5,5370,891,357,870,1,3475,5,96,0,60,18,158,3,0,110,838
3456,7,160,5824,10213,0,3919,0,0,0,0,1,2331,41,16,240,30,1089,2117,1258,1876,4066,20,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,16,1,1,0,0,0,2,0,1,2,13,84,8,1,0,0,1,0,0,0,0,0,2,10,30,108,120,31,37,0,0,1,0,9,2,0,0,1286,4,0,49,86,0,3,379,3,1052,0,0,0,0,0,0,7,0,150,286,364,44,193,16,466,1161,53,131,2338,1058,71,2224,1696,210,1,230,1,0,6,21,86,0,2,61,1,0,2,2,16,82,201,809,72,205,243,1461,58,1046,0,0,942,0,0,9,2441,0,0,2,0,2410,13,11,63,2806,140,1612,0,0,745,0,114,132,99,9,0,0,0,0,0,0,206,12,39,2,21,0,1,0,0,0,0,0,0,0,0,0,6,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,2,0,0,1,210,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,129,1021,10,2755,244,137,877,0,1448,5,26,0,18,11,14,4,1,42,283
278,1,90,222,847,3919,0,0,0,0,0,2,533,0,0,108,24,820,489,159,176,1062,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,1,16,3,2,0,0,0,1,0,3,1,0,1,2,6,20,23,3,6,2,0,0,0,0,0,0,0,33,1,1,6,9,0,0,83,3,156,0,0,0,0,0,0,0,0,19,117,20,15,97,3,597,82,26,16,476,84,11,287,574,42,0,142,0,0,0,10,35,1,0,51,0,0,0,0,4,28,23,977,44,50,83,165,31,620,0,0,2204,0,0,8,265,0,0,2,0,575,3,17,18,232,11,60,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,2,224,11,43,230,1,24,0,1,0,0,0,1,1,0,2,5
0,51,0,1,0,0,0,0,8828,998,351,855,0,4259,0,0,0,12,0,0,0,0,16,0,61,38,16,18,1,0,0,0,0,0,0,1252,594,403,242,3800,242,255,471,355,38,0,418,70,28,4,8083,1960,7373,4811,4517,848,1,1,1,58,0,0,20,0,0,0,621,26,0,12,4,0,705,65,13,1,1,250,255,575,91,44,135,63,38,30,4,0,0,0,0,0,0,0,132,1396,239,1,192,119,10,33,2,91,387,35,0,28,13,0,0,0,4,36,15,685,3651,0,0,0,0,0,0,1,2,0,0,1,252,153,4,18,2211,339,105,414,1028,443,348,34,36,0,13,1715,42,2,28,2342,3679,928,244,0,0,0,0,4,95,0,1,0,0,0,1,0,0,0,5,310,4,3,20,22,0,5,14,5,213,1,0,0,0,0,0,0,0,0,0,21054,432,38,2,23,0,3265,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,1698,213,94,114,2871,23,2,419,41,13,0,1,0,0,0,93,57,1849,208,7080,10,0,2,0,0,0,0,4,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,134,14128,12155,13784,7303,67,0,0,8758,4,138,102,6,7,0,0,0,35,3005
0,8,0,0,0,0,0,8828,0,881,178,807,0,325,0,0,0,8,0,0,0,0,2,0,4,16,0,0,0,0,0,0,0,0,0,745,152,6,112,66,8,119,23,47,2,0,221,33,11,0,5852,1991,9864,2886,773,406,0,2,0,1,0,0,0,0,0,0,571,14,0,11,9,2,534,157,50,2,3,150,90,160,39,56,61,43,31,11,1,0,0,0,0,0,0,0,77,731,144,2,400,339,27,372,23,42,89,48,0,85,7,0,1,0,4,30,12,814,1327,0,0,0,0,0,0,0,0,0,0,0,17,5,1,0,104,7,16,36,61,83,21,3,13,0,1,292,20,5,177,380,509,103,76,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,76,174,9,0,19,0,0,0,4,2,8,0,0,0,0,0,0,0,0,0,0,1374,1987,0,0,2,0,284,0,0,0,0,0,0,0,0,0,0,0,2,28,2,0,0,0,0,0,0,0,1951,441,64,707,82,0,25,6,0,37,0,2,0,0,0,500,392,1260,2,30,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,269,6393,1290,11286,3176,164,2,0,8559,7,93,55,5,8,0,0,0,15,4934
0,68,0,0,0,0,0,998,881,0,251,1288,0,3,0,0,0,29,0,0,0,0,45,1,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,13,44,287,0,0,337,41,2,10,1982,512,703,2067,51,81,0,0,0,0,0,0,0,0,0,0,1076,15,0,0,0,0,1376,24,3,1,1,63,76,149,7,18,26,19,29,25,0,0,1,0,0,0,0,0,171,2134,257,0,7,0,0,0,1,0,2,0,0,9,3,0,1,0,1,35,0,21,852,0,0,0,0,1,0,0,0,0,11,0,4,1,1,1,389,30,115,291,324,413,44,16,29,0,5,622,94,0,0,148,2326,823,423,0,0,0,3,0,78,0,1,1,0,0,5,0,0,0,2,3,2,0,3,15,0,0,1,5,7,2,0,0,0,0,0,0,0,0,0,17,1,41,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,167,65,0,0,0,0,0,0,1,2,0,26,92,7,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,50,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,4865,169,23,1,0,0,91,0,8,5,7,2,0,0,0,14,60
