0,178,38,44,97,20735,7,11,0,729,6617,43,11,21,63,2,4,0,123,11,0,0,0,277,558,21,197,13,434,0,682,0,22,117,2,0,4,0,23,0,1,27,28,0,1,44,33,1,0,0,1,0,16,0,0,1,0,1,0,0,0,4,8,0,6,0,0,0,3,1,0,6,0,3,0,8,4,0,5,45,0,0,0,0,0,0,0
178,0,4973,1823,869,450,2680,112,23,1815,50,268,10,4,4,134,0,0,29,86,2,76,39,9,166,371,168,809,226,187,690,151,41,12,138,198,20,654,1260,202,62,1208,637,2,205,589,1871,79,223,0,13,32,462,0,3,3,5,0,1,4,2,393,4,0,55,271,2,3,448,4,0,0,15,10,39,9,294,0,8,35,46,8,13,0,0,0,26
38,4973,0,927,662,97,42,9,220,523,3,27,1895,32,3,0,1,108,40,13,355,1900,1,0,183,36,212,26,23,1344,231,310,16,0,34,1432,711,1209,10,112,149,1744,15,387,3577,2891,79,38,24,153,1,1,330,0,6,410,0,0,0,2,4,13,0,141,0,284,1,0,73,258,24,134,0,12,104,165,2,50,1005,917,5,1,1,52,3,0,3
44,1823,927,0,806,255,265,130,31,1686,49,15,41,11,25,15,3,4,54,110,7,377,6,0,257,254,261,15,418,907,541,18,261,1,20,393,426,1137,476,365,56,1567,130,21,592,3593,1864,467,763,28,34,31,2182,0,5,10,0,0,2,1,13,17,2,0,10,0,5,5,13,24,0,2,0,4,65,9,23,0,51,64,3,6,2,3,2,0,6
97,869,662,806,0,1318,86,145,23,1578,34,5,2,27,24,26,8,2,22,26,0,54,5,2,43,111,78,5,119,79,111,18,29,1,13,17,91,162,300,96,1,868,80,0,62,462,1060,23,121,1,5,0,85,0,0,0,0,0,7,0,70,29,0,1,7,1,38,8,2,3,1,1,2,2,8,9,17,0,1,11,2,0,1,0,24,0,5
20735,450,97,255,1318,0,91,73,1,6388,21104,840,106,144,1307,28,116,0,6251,12,1,13,0,81,17,21,21,175,36,6,23,1,9,21,8,3,35,30,132,13,60,139,75,0,15,337,167,8,8,0,7,0,17,24,3,17,1,45,6,12,12,193,5,8,137,0,23,3,180,5,12,14,194,10,262,89,125,0,32,338,97,38,5,1,2,0,3
7,2680,42,265,86,91,0,185,2,762,0,74,3,18,10,106,8,1,14,37,0,2,38,613,675,56,1248,369,92,20,826,19,405,944,0,0,13,4,402,0,3,32,134,0,21,12,129,262,2,1,60,6,238,0,0,0,2,3,1,3,7,78,3,0,55,2,1,8,1,1,0,0,46,0,4,1,13,0,1,5,8,0,0,0,0,0,11
11,112,9,130,145,73,185,0,7,509,0,0,0,5,13,1,3,0,7,1,0,0,0,89,44,3,173,1,9,4,51,72,69,1,0,0,0,0,19,0,0,0,0,0,7,0,2,87,0,0,155,0,259,0,0,0,0,1,1,0,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2
0,23,220,31,23,1,2,7,0,3,0,0,33,0,0,2,0,74,0,0,70,0,0,0,13,0,24,1,0,160,4,28,0,0,0,0,0,0,2,0,9,0,3,102,0,1,0,3,0,0,0,0,73,0,2,0,0,0,1,0,0,0,0,34,1,60,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,4,1,0,1
729,1815,523,1686,1578,6388,762,509,3,0,118,31,20,16,50,22,16,2,150,12,2,186,6,9,92,64,150,26,164,62,336,88,42,0,26,51,24,105,703,11,14,416,156,4,32,344,464,14,15,3,22,1,100,0,11,2,1,1,22,0,32,62,2,0,12,5,5,8,9,4,0,1,0,1,34,10,15,0,3,13,6,3,0,0,7,1,4
6617,50,3,49,34,21104,0,0,0,118,0,172,16,8,33,6,5,0,567,0,0,0,0,2,1,0,0,15,0,0,5,0,0,0,0,0,1,2,0,4,3,0,5,0,0,22,0,1,0,1,0,0,0,0,0,0,0,218,161,7,16,26,201,0,700,0,1,2,4,1,0,1,24,2,4,18,8,0,1,19,3,1,0,0,0,0,0
43,268,27,15,5,840,74,0,0,31,172,0,6121,1560,785,2440,163,21,2599,8,28,1,0,0,6,8,17,318,0,2,20,0,7,2,84,1,0,4,4,6,79,8,129,0,5,17,87,53,8,0,0,1,10,20,22,23,17,9,61,99,42,245,16,4,156,396,29,3,762,8,16,66,367,103,85,792,960,0,65,498,1133,47,43,0,6,1,576
