0,85,6,48,56,11197,3,0,0,155,703,2,0,13,22,0,0,0,62,0,0,0,0,1,10,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,0,2190,1085,715,716,326,14,0,1209,0,41,33,5,16,21,0,0,3,24,9,220,2,4,0,84,18,131,13,29,8,6,7,1,419,12,1,54,36,58,51,897,343,0,56,357,969,26,8,0,0,1,78,0,5,0,0,0,0,0,0,117,0,0,2,1,0,0,8,0,0,0,1,0,100,0,6,0,0,0,0,0,0,0,0,0,0
6,2190,0,850,1103,74,9,0,26,489,0,26,1249,75,10,0,0,34,7,0,50,93,0,0,1,2,0,2,0,1266,1,1202,1,0,198,62,82,704,0,7,47,427,23,112,1607,1478,97,7,1,5,0,0,65,0,56,3,0,0,0,0,0,0,0,33,0,265,0,0,3,10,0,1,0,0,31,2,0,79,24,314,0,0,0,0,0,0,8
48,1085,850,0,1339,759,263,49,5,1296,3,6,84,15,45,1,1,2,43,16,6,230,0,15,85,15,82,7,11,1789,58,169,42,0,10,248,88,993,25,74,9,523,91,2,640,641,286,124,31,2,5,1,607,0,15,0,0,0,0,0,0,11,0,0,0,1,0,0,0,1,0,1,0,0,10,1,0,0,0,3,0,0,0,0,0,0,3
56,715,1103,1339,0,998,11,36,1,1701,8,6,23,26,164,3,2,4,95,2,5,178,0,1,1,6,6,8,3,191,3,20,2,0,10,20,1,172,4,28,5,516,8,0,136,269,121,7,3,0,0,0,185,0,6,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,3,0,0,0,0,0,0,0
11197,716,74,759,998,0,28,1,0,3476,10470,775,131,639,1106,8,3,0,3481,0,0,3,0,0,2,6,1,17,3,3,0,0,0,1,2,3,0,4,2,5,4,19,16,0,0,18,26,1,0,0,0,0,111,1,4,2,0,0,0,2,0,29,1,0,12,0,0,0,7,2,0,0,0,3,11,24,9,0,2,17,9,0,4,0,0,0,9
3,326,9,263,11,28,0,258,0,363,0,8,0,0,0,20,0,0,1,12,0,0,4,268,991,10,405,225,77,52,858,3,115,474,0,0,0,0,214,0,0,0,259,0,0,0,20,126,0,0,15,0,190,0,0,0,0,0,0,0,0,57,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0,49,36,1,258,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,37,21,0,89,0,0,2,4,1,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,26,5,1,0,0,0,0,2,0,0,5,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,37,0,67,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155,1209,489,1296,1701,3476,363,122,2,0,6,4,9,38,113,1,4,3,175,0,3,43,0,30,8,16,22,40,7,15,8,1,12,0,29,6,0,22,25,11,7,135,57,0,6,63,90,11,1,0,1,0,109,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,10,0,2,0,0,1,1,1,0,0,0,0,3
703,0,0,3,8,10470,0,0,0,6,0,40,1,13,32,1,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0
2,41,26,6,6,775,8,0,0,4,40,0,3589,1169,597,236,21,0,1473,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,1,0,33,0,3,0,0,2,2,0,0,0,0,0,2,23,4,55,0,0,3,10,2,49,1,7,1,2,6,0,1425,16,1,23,0,128,111,698,219,0,70,655,347,9,21,0,0,2,16
0,33,1249,84,23,131,0,0,5,9,1,3589,0,664,1359,34,17,28,873,0,9,12,0,0,0,0,0,0,0,12,0,92,0,0,2,9,1,15,0,1,9,5,0,48,57,220,0,0,0,4,0,0,3,2,38,54,0,0,2,1,1,2,0,819,0,1515,2,1,203,67,60,492,0,8,54,314,3,69,1666,3153,6,0,3,19,0,0,82
13,5,75,15,26,639,0,0,0,38,13,1169,664,0,1024,915,106,6,1324,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,35,5,43,0,1,255,24,72,15,14,2009,446,105,58,13,92,213,105,866,46,167,8,391,81,0,432,620,147,81,177,4,31,5,1054
22,16,10,45,164,1106,0,0,0,113,32,597,1359,1024,0,35,45,3,1797,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,3,2,17,0,0,7,7,5,5,1,54,4,6,0,0,50,16,1,77,0,13,11,314,19,0,148,318,56,0,12,0,0,0,27
0,21,0,1,3,8,20,0,0,1,1,236,34,915,35,0,365,0,379,0,0,0,0,0,1,0,1,221,0,0,17,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,5,0,0,3,133,2779,16,387,226,119,70,2880,0,220,422,1,0,0,0,599,0,1,0,234,0,1,0,32,127,0,0,33,0,470
0,0,0,1,2,3,0,0,0,4,0,21,17,106,45,365,0,3,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,66,0,141,0,0,32,18,0,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,91,0,61
0,0,34,2,4,0,0,0,5,3,0,0,28,6,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,105,0,278,1,0,0,0,0,0,0,0,1,0,0,31,0,5,0,0,0,0,1,0,1
